µã,×ø±ê
1,"(585429.2928999998, 3794373.4152000006)"
2,"(585429.2928999998, 3793440.757099999)"
3,"(585429.2928999998, 3792488.2552000005)"
4,"(586421.4824000001, 3794373.4152000006)"
5,"(586421.4828000003, 3793407.6977999993)"
6,"(586421.4824000001, 3792448.5676000006)"
7,"(587360.7550999997, 3794373.4152000006)"
8,"(587367.1527000004, 3793400.432)"
9,"(587367.3825000003, 3792415.4562999997)"
10,"(588363.1847000001, 3794349.872300001)"
11,"(588384.3514, 3793249.203400001)"
12,"(588384.3514, 3792381.3683)"
