,A,A_point,B,B_point,c,lw_time,opposite_v,v
0,1,"(585429.2928999998, 3794373.4152000006)",2,"(585429.2928999998, 3793440.757099999)",2400,85.98750473,0,0
0,2,"(585429.2928999998, 3793440.757099999)",3,"(585429.2928999998, 3792488.2552000005)",2400,61.87580729,0,2161
0,1,"(585429.2928999998, 3794373.4152000006)",4,"(586421.4824000001, 3794373.4152000006)",2400,59.53137,0,2696
0,4,"(586421.4824000001, 3794373.4152000006)",5,"(586421.4828000003, 3793407.6977999993)",2400,59.01921396,0,6890
0,2,"(585429.2928999998, 3793440.757099999)",5,"(586421.4828000003, 3793407.6977999993)",2400,113.1608305,0,9614
0,5,"(586421.4828000003, 3793407.6977999993)",6,"(586421.4824000001, 3792448.5676000006)",2400,62.78356236,0,4230
0,3,"(585429.2928999998, 3792488.2552000005)",6,"(586421.4824000001, 3792448.5676000006)",2400,60.8401937,0,1188
0,4,"(586421.4824000001, 3794373.4152000006)",7,"(587360.7550999997, 3794373.4152000006)",2400,71.69920469,0,0
0,7,"(587360.7550999997, 3794373.4152000006)",8,"(587367.1527000004, 3793400.432)",2400,59.24104779,0,8754
0,5,"(586421.4828000003, 3793407.6977999993)",8,"(587367.1527000004, 3793400.432)",2400,56.35704242,0,11534
0,8,"(587367.1527000004, 3793400.432)",9,"(587367.3825000003, 3792415.4562999997)",2400,59.14569979,0,1833
0,6,"(586421.4824000001, 3792448.5676000006)",9,"(587367.3825000003, 3792415.4562999997)",2400,57.48722004,0,1339
0,7,"(587360.7550999997, 3794373.4152000006)",10,"(588363.1847000001, 3794349.872300001)",2400,60.1623631,0,1869
0,10,"(588363.1847000001, 3794349.872300001)",11,"(588384.3514, 3793249.203400001)",2400,66.05234251,0,0
0,8,"(587367.1527000004, 3793400.432)",11,"(588384.3514, 3793249.203400001)",2400,62.09012355,0,2534
0,9,"(587367.3825000003, 3792415.4562999997)",12,"(588384.3514, 3792381.3683)",2400,61.05324934,0,2458
0,11,"(588384.3514, 3793249.203400001)",12,"(588384.3514, 3792381.3683)",2400,52.60777112,0,1300
